account,date,daily_pnl,trade_count,avg_trade_size,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable,value,classification,sentiment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,1.5875706214689265,0,177,0,0.0,0.0,0,76.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,16.176470588235293,0,68,0,0.0,0.0,0,90.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,7.5,0,40,0,0.0,0.0,0,83.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,8.333333333333334,12,0,0,0.0,12.0,0,94.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,74.07407407407408,12,15,12,0.4444444444444444,0.75,1,79.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,15.853658536585366,82,0,0,0.0,82.0,0,77.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,13.043478260869565,0,23,0,0.0,0.0,0,84.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,9.090909090909092,33,0,0,0.0,33.0,0,72.0,Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,28.064258064516128,112,353,23,0.04946236559139785,0.3163841807909605,1,77.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,39.21568627450981,28,23,28,0.5490196078431373,1.1666666666666667,1,76.0,Extreme Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,60.0,9,1,9,0.9,4.5,1,60.0,Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,10.820332538736592,350,489,256,0.30512514898688914,0.7142857142857143,1,44.0,Fear,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,29.566478342749527,111,420,83,0.15630885122410546,0.26365795724465557,1,72.0,Greed,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,9.683554285714285,78,132,78,0.37142857142857144,0.5864661654135338,1,54.0,Neutral,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,3.81208085106383,132,9,132,0.9361702127659575,13.2,1,46.0,Neutral,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,12.5,16,32,16,0.3333333333333333,0.48484848484848486,1,43.0,Fear,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,50.0,0,6,0,0.0,0.0,0,47.0,Neutral,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,10.169491525423728,31,28,31,0.5254237288135594,1.0689655172413792,1,49.0,Neutral,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,5.194163470319634,93,126,93,0.4246575342465753,0.7322834645669292,1,25.0,Fear,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,10.909090909090908,1,54,1,0.01818181818181818,0.01818181818181818,1,16.0,Extreme Fear,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,1.318582222222222,36,9,36,0.8,3.6,1,20.0,Extreme Fear,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,14.235897347893914,540,101,540,0.8424336973478939,5.294117647058823,1,33.0,Fear,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,40.0,4,1,4,0.8,2.0,1,45.0,Neutral,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,13.688070967741934,31,0,31,1.0,31.0,1,43.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,385.1563512149091,8,47,46,0.8363636363636363,0.16666666666666666,1,84.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.00736001,0,1,0,0.0,0.0,0,81.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,110.64617647058823,34,0,0,0.0,34.0,0,72.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,144.64051199153843,0,26,25,0.9615384615384616,0.0,1,75.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,89.33717391304349,46,0,0,0.0,46.0,0,78.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,64.1886198953125,0,64,63,0.984375,0.0,1,78.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,75.06542372881357,44,15,15,0.2542372881355932,2.75,1,81.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.00481383,0,1,0,0.0,0.0,0,75.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,2.9411764705882355,13,21,21,0.6176470588235294,0.5909090909090909,1,74.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,13518.76923076923,13,0,0,0.0,13.0,0,61.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,10334.235294117647,0,17,17,1.0,0.0,1,75.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,10878.34589,10,29,28,0.717948717948718,0.3333333333333333,1,77.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,3524.658344354839,43,81,80,0.6451612903225806,0.524390243902439,1,77.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,79.06982300884957,141,198,198,0.584070796460177,0.7085427135678392,1,75.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,105.17425925925926,50,4,4,0.07407407407407407,10.0,1,75.0,Extreme Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,68.78454545454545,44,0,0,0.0,44.0,0,71.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,54.02607142857143,0,56,56,1.0,0.0,1,72.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,72.55630434782609,46,0,0,0.0,46.0,0,72.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,60.66218181818182,0,55,55,1.0,0.0,1,70.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,81.11564102564103,53,25,25,0.32051282051282054,2.0384615384615383,1,68.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,1987.2184915087041,270,247,233,0.4506769825918762,1.0887096774193548,1,60.0,Greed,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,4447.564516129032,0,124,0,0.0,0.0,0,47.0,Neutral,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,1.0367584905660379,31,128,127,0.7987421383647799,0.24031007751937986,1,46.0,Neutral,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,75.1941875,108,52,52,0.325,2.0377358490566038,1,49.0,Neutral,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,4100.03,0,1,0,0.0,0.0,0,25.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,52,74.35288461538461,52,0,0,0.0,52.0,0,16.0,Extreme Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,101.51363636363637,60,50,50,0.45454545454545453,1.1764705882352942,1,33.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,65,110.02307692307693,55,10,0,0.0,5.0,0,15.0,Extreme Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,37,97.52324324324324,37,0,0,0.0,37.0,0,34.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,47,76.7468085106383,0,47,47,1.0,0.0,1,28.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,65,178.95861538461537,8,57,57,0.8769230769230769,0.13793103448275862,1,27.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,53,229.7396226415094,1,52,51,0.9622641509433962,0.018867924528301886,0,20.0,Extreme Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,53,159.56943396226416,1,52,52,0.9811320754716981,0.018867924528301886,1,34.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,27,342.1151851851852,17,10,0,0.0,1.5454545454545454,0,45.0,Neutral,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,42,105.06928571428571,42,0,0,0.0,42.0,0,44.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,97,45.4780412371134,0,97,0,0.0,0.0,0,26.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,155,58.85432258064516,72,83,83,0.535483870967742,0.8571428571428571,1,34.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,1,4564.05,1,0,0,0.0,1.0,0,25.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,1,1.01,1,0,0,0.0,1.0,0,38.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,88,51.842954545454546,0,88,1,0.011363636363636364,0.0,0,29.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,125,168.0,60,65,20,0.16,0.9090909090909091,0,30.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,689,44.92911465892598,312,377,301,0.43686502177068215,0.8253968253968254,1,33.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,411,32.25131386861314,122,289,297,0.7226277372262774,0.4206896551724138,1,32.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,603,53.717512437810946,297,306,249,0.4129353233830846,0.9674267100977199,0,37.0,Fear,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,97,48.14257731958763,0,97,97,1.0,0.0,1,39.0,Fear,Fear
